"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2024-11-06,1,2024-11-03,0.01,4039.9,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.025,5008.65,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.05,6387.35,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.1,8073.8,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.15,4114.55,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.2,5085,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.25,6462,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.3,8147.1,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.35,4141,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.4,5132.6,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.45,6511.1,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.5,8180,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.55,4183.9,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.6,5164.4,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.65,6565.7,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.7,8215.6,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.75,4219.25,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.8,5196,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.85,6629.6,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.9,8314.1,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.95,4302.35,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.975,5267.825,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.99,6709.24,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.01,217.93,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.025,245.375,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.05,290.95,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.1,327,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.15,232.85,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.2,265,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.25,302.75,"quantile","ILI incidence","BE"
