Unnamed: 0,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
62,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.7,257.6765661575177
63,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.7,263.258709067364
52,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.75,242.2825658914238
53,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.75,258.48549814630815
54,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.75,268.85941300496006
55,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.75,275.4903371921695
44,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.8,248.76008625881025
45,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.8,268.08576009534295
46,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.8,280.28013188921835
47,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.8,287.9821461399189
36,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.85,255.4086364987692
37,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.85,277.93950354419246
38,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.85,292.0023988944668
39,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.85,300.8037838448715
28,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.9,262.27056823345754
29,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.9,288.1094973679222
30,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.9,304.10088549119325
31,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.9,314.0369248279252
20,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.95,269.3968509748421
21,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.95,298.6712829216403
22,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.95,316.6654576211196
23,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.95,327.7798630919599
12,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.975,273.07822174785264
13,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.975,304.12740219999347
14,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.975,323.15619764549143
15,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.975,334.8793360004228
4,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.99,275.3300339570214
5,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.99,307.46478839748016
6,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.99,327.1264382255968
7,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.99,339.2219248782244
92,2024-10-30,ILI incidence,2024-10-27,1,BE,median,,211.32937384291688
93,2024-10-30,ILI incidence,2024-11-03,2,BE,median,,212.61011142879096
94,2024-10-30,ILI incidence,2024-11-10,3,BE,median,,214.28487137382484
95,2024-10-30,ILI incidence,2024-11-17,4,BE,median,,215.79753200397727
0,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.01,573.7591675723563
1,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.01,523.9363770269129
2,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.01,490.15873787116846
3,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.01,465.1745616646607
8,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.025,578.136209783008
9,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.025,529.7930938197732
10,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.025,496.9609195657133
11,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.025,472.6397783815692
16,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.05,585.2920086550972
17,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.05,539.3679357800606
18,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.05,508.0814529658983
19,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.05,484.8442732874574
24,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.1,599.1439809630334
25,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.1,557.9026162619398
26,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.1,529.6082347358092
27,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.1,508.46935393751664
32,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.15,612.482111348439
33,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.15,575.7497487441135
34,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.15,550.336475858609
35,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.15,531.2180570875855
40,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.2,625.4054736614451
41,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.2,593.0418993417502
42,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.2,570.4201429394466
43,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.2,553.2593570647576
48,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.25,637.9963904141667
49,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.25,609.889219983009
50,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.25,589.987170016426
51,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.25,574.7336581338413
56,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.3,650.3250621152674
57,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.3,626.3856427065059
58,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.3,609.1466528194937
59,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.3,595.7606900085539
64,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.35,662.4529048456503
65,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.35,642.6133455162598
66,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.35,627.9940355598691
67,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.35,616.4452002174268
72,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.4,674.4350523363883
73,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.4,658.6461002959052
