target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,AT,2024-10-27,2,quantile,0.75,1060.209858302203,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.75,1239.0371189916636,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.75,1718.5626117157858,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.8,1062.0096489326456,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.8,1067.1224496929633,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.8,1246.2095663796351,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.8,1736.2872999027056,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.85,1078.5351214583734,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.85,1072.707979876957,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.85,1268.3063368120418,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.85,1742.7230370784212,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.9,1126.6962411308189,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.9,1080.2670958245124,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.9,1321.2806663180659,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.9,1793.8057383806022,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.95,1198.9702897548627,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.95,1109.172915112594,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.95,1442.2511131863762,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.95,1889.8291531505909,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.975,1266.5363603514436,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.975,1251.7727999786412,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.975,1529.5018177007323,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.975,2044.3514219327194,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.99,1327.8301058111233,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.99,1252.448045227598,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.99,1680.011777244681,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.99,2240.0046749403364,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.01,136.1979650976068,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.01,147.05781700103975,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.01,139.4307283513781,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.01,119.60166056542488,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.025,141.11901057884143,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.025,169.25967826869953,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.025,146.43188485417855,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.025,144.40366523992736,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.05,167.23459616580195,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.05,194.26863577803127,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.05,171.21709213060439,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.05,144.72890975915462,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.1,209.369785473315,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.1,200.770074947873,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.1,184.62453572522065,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.1,175.42747038725108,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.15,218.50959507286896,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.15,209.93056583196721,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.15,209.82489428147807,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.15,177.66520723588724,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.2,219.981088809474,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.2,213.26391337922902,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.2,211.779925421461,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.2,180.30239386029317,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.25,227.44426241006477,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.25,214.79073927590974,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.25,212.957024740693,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.25,186.2226680300603,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.3,235.17322770490318,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.3,215.70701942063465,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.3,217.2968569327641,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.3,188.00014558457664,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.35,241.57982406978547,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.35,224.32449749931982,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.35,230.88903803379844,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.35,189.54075722779564,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.4,248.58325073023826,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.4,225.5667752177065,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.4,234.9650993874722,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.4,191.97393761244828,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.45,252.80932301862077,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.45,229.29193415845938,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.45,236.79035420502817,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.45,199.97834460964307,2024-10-23
ILI incidence,BE,2024-10-20,1,median,0.5,255.14232273724392,2024-10-23
ILI incidence,BE,2024-10-27,2,median,0.5,230.8585025314525,2024-10-23
ILI incidence,BE,2024-11-03,3,median,0.5,240.20776308391873,2024-10-23
ILI incidence,BE,2024-11-10,4,median,0.5,201.17349088070267,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.55,258.69761329433163,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.55,233.5273087489693,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.55,255.18061046426703,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.55,209.7662587942483,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.6,261.3147898615326,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.6,239.77474578024768,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.6,258.07592831151425,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.6,211.42412769721076,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.65,262.53634884594146,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.65,251.68684424303854,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.65,259.841304926183,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.65,219.16102454887354,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.7,263.8469581215496,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.7,258.0791100786203,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.7,267.66898271853216,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.7,229.47821726408074,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.75,270.1515789243554,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.75,263.4034913874205,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.75,285.02231592252247,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.75,236.54933336441695,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.8,281.69411674777257,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.8,266.4022117885546,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.8,286.16154771229554,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.8,239.3048852960507,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.85,311.4711899991395,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.85,282.41365674643345,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.85,294.43440172900006,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.85,243.29854350434226,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.9,326.79800441099536,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.9,320.10061539083796,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.9,302.41596107162036,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.9,274.2128826135755,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.95,342.2992306943513,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.95,350.9451644724818,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.95,322.6771399276223,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.95,290.6463268219826,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.975,382.3633526128722,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.975,378.58772724571963,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.975,356.0976314477686,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.975,316.57100886066866,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.99,434.9122764744079,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.99,396.2123250404,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.99,370.5984449445866,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.99,340.825330847149,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.01,0.24061772674643678,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.01,0.35962624223721257,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.01,0.16146774006500705,2024-10-23
ILI incidence,HR,2024-11-10,4,quantile,0.01,0.20623263762074354,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.025,0.2813405606974753,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.025,0.41427016726555266,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.025,0.2592393734868243,2024-10-23
ILI incidence,HR,2024-11-10,4,quantile,0.025,0.2658829812815539,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.05,0.39185176832238167,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.05,0.4567036356965044,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.05,0.30389000230364543,2024-10-23
ILI incidence,HR,2024-11-10,4,quantile,0.05,0.34162076207423425,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.1,0.4668564109077199,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.1,0.6257621098429113,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.1,0.31533235712465013,2024-10-23
ILI incidence,HR,2024-11-10,4,quantile,0.1,0.4165648781982115,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.15,0.4745431316838706,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.15,0.7295375859259433,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.15,0.3814255227185015,2024-10-23
ILI incidence,HR,2024-11-10,4,quantile,0.15,0.447936219296538,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.2,0.5293565586338935,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.2,0.7552029286556919,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.2,0.40059408492450743,2024-10-23
ILI incidence,HR,2024-11-10,4,quantile,0.2,0.5383427830294666,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.25,0.5742237799903824,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.25,0.8174894167542085,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.25,0.4215214833147261,2024-10-23
ILI incidence,HR,2024-11-10,4,quantile,0.25,0.5670399315128728,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.3,0.6198741235732625,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.3,0.8858719371420231,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.3,0.48351878017829614,2024-10-23
ILI incidence,HR,2024-11-10,4,quantile,0.3,0.5707186617654184,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.35,0.6440259569733785,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.35,0.9138223474015249,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.35,0.4898629049992026,2024-10-23
ILI incidence,HR,2024-11-10,4,quantile,0.35,0.6285538750857639,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.4,0.6472685031064738,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.4,0.9259037695795296,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.4,0.5557329004811695,2024-10-23
ILI incidence,HR,2024-11-10,4,quantile,0.4,0.6548879365762024,2024-10-23
ILI incidence,HR,2024-10-20,1,quantile,0.45,0.647718157905012,2024-10-23
ILI incidence,HR,2024-10-27,2,quantile,0.45,0.9540800836188614,2024-10-23
ILI incidence,HR,2024-11-03,3,quantile,0.45,0.5621646866341077,2024-10-23
