target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,GR,2025-12-07,1,quantile,0.01,415.86406219754167,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.01,424.79289884847447,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.01,373.379372614707,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.01,269.0053217639935,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.025,425.40079335375304,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.025,434.2752080051677,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.025,421.1397734476835,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.025,278.44566395794374,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.05,455.1548648876947,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.05,443.00194942313766,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.05,436.7557298500306,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.05,337.96919496057103,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.1,487.89878733256387,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.1,455.60833168608536,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.1,466.4534189394113,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.1,417.3288060957888,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.15,492.5626055743337,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.15,464.95721879299174,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.15,470.9718019036918,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.15,440.59838593363366,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.2,494.1437289299645,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.2,473.51313587778407,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.2,479.303459215528,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.2,446.467623404847,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.25,496.34935050873855,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.25,481.34933158534545,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.25,487.45346237301123,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.25,451.29785734889913,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.3,499.2173021689472,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.3,483.404432821262,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.3,491.7226946553456,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.3,454.6687523783523,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.35,502.0442170430408,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.35,496.1127422097773,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.35,494.23678706158523,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.35,456.3047712147679,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.4,505.1670972488669,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.4,499.1343707757456,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.4,497.44355983692924,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.4,457.35406638089717,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.45,508.73547098327015,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.45,500.016795190914,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.45,500.9634187515518,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.45,459.06357901892136,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.5,511.2673471530834,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.5,502.1537192217912,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.5,503.081457348959,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.5,460.9172241664378,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.55,513.2947125189153,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.55,505.3396878477444,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.55,504.9900918664522,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.55,462.95599947081996,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.6,515.8259107254224,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.6,509.0652512115214,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.6,507.1978443231796,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.6,466.15869100948333,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.65,519.7462419264725,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.65,513.1598455092056,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.65,508.9364617860976,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.65,468.9175910944526,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.7,524.9221541661344,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.7,516.763932443578,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.7,510.89132599870203,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.7,472.89900040477465,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.75,526.7032813496265,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.75,517.9862391771132,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.75,514.1094997895552,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.75,480.3400658942461,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.8,528.2211214792521,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.8,522.2671844221386,2025-12-10
ILI incidence,GR,2025-12-21,3,quantile,0.8,517.9466665782752,2025-12-10
ILI incidence,GR,2025-12-28,4,quantile,0.8,488.52056944391813,2025-12-10
ILI incidence,GR,2025-12-07,1,quantile,0.85,529.2751828766737,2025-12-10
ILI incidence,GR,2025-12-14,2,quantile,0.85,527.0304718813779,2025-12-10
