target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-06-07,3,quantile,0.8,100.08151667083614,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.8,124.43091431399293,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.85,138.94863194084596,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.85,122.89651515343981,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.85,125.77194644002869,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.85,149.73957447190816,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.9,171.69806197139735,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.9,160.36146205806813,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.9,159.8247096446065,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.9,179.10835165191222,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.95,218.66625930706022,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.95,204.39620933986265,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.95,201.8712095685556,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.95,223.8088684060181,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.975,264.3249614958421,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.975,248.07684840893882,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.975,236.6409924538691,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.975,263.78452453074834,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.99,315.53936945701366,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.99,300.18308381376886,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.99,283.1626154008374,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.99,298.67444902951155,2026-05-27
ILI incidence,BE,2026-05-24,1,median,,12.025815292993482,2026-05-27
ILI incidence,BE,2026-05-31,2,median,,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,median,,0.0,2026-05-27
ILI incidence,BE,2026-06-14,4,median,,6.224604194275273,2026-05-27
ILI incidence,GR,2026-05-24,1,quantile,0.01,0.0,2026-05-27
ILI incidence,GR,2026-05-31,2,quantile,0.01,0.0,2026-05-27
ILI incidence,GR,2026-06-07,3,quantile,0.01,0.0,2026-05-27
ILI incidence,GR,2026-06-14,4,quantile,0.01,0.0,2026-05-27
ILI incidence,GR,2026-05-24,1,quantile,0.025,0.0,2026-05-27
ILI incidence,GR,2026-05-31,2,quantile,0.025,0.0,2026-05-27
ILI incidence,GR,2026-06-07,3,quantile,0.025,0.0,2026-05-27
