target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-03-29,1,quantile,0.01,0.0,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.01,0.0,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.01,0.0,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.01,0.0,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.025,20.205014792989427,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.025,0.0,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.025,0.0,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.025,0.0,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.05,39.54680589503127,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.05,25.951654470468533,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.05,0.0,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.05,0.0,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.1,95.70215031762311,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.1,66.13990861424493,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.1,19.591791508270155,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.1,0.0,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.15,126.37038085605877,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.15,95.1792363370563,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.15,46.06196610756806,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.15,0.0,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.2,150.11646149407426,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.2,128.3483857098275,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.2,63.02039768046311,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.2,0.0,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.25,169.8543941878795,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.25,148.92478514450485,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.25,85.99187402056488,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.25,8.048269107908208,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.3,190.65425515973502,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.3,165.3794028453748,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.3,105.0053523414041,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.3,30.466379669064825,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.35,208.12848462986733,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.35,180.6743605961429,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.35,125.52766176393817,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.35,50.38385683077255,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.4,224.9994816081603,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.4,196.11090372091647,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.4,144.029015558946,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.4,65.37657955692389,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.45,239.5931936737275,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.45,209.1499718319005,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.45,160.00605472441353,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.45,79.8158548979455,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.5,253.0505220468914,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.5,223.94909150305557,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.5,173.2206365911614,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.5,100.63349062927932,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.55,269.6286662524788,2026-04-01
